concentration,construct,measure,response,method,nucleotide,experimenter,within_experiment_id
0.001,Kir6.2-G334D+SUR1-T1397ANAP,current,1,patch-clamp,MgTNP-ATP,Natascia,1
0.0001,Kir6.2-G334D+SUR1-T1397ANAP,current,1.04,patch-clamp,MgTNP-ATP,Natascia,1
1E-05,Kir6.2-G334D+SUR1-T1397ANAP,current,0.66,patch-clamp,MgTNP-ATP,Natascia,1
0.001,Kir6.2-G334D+SUR1-T1397ANAP,current,1,patch-clamp,MgTNP-ATP,Natascia,2
0.0001,Kir6.2-G334D+SUR1-T1397ANAP,current,0.915,patch-clamp,MgTNP-ATP,Natascia,2
1E-05,Kir6.2-G334D+SUR1-T1397ANAP,current,0.559,patch-clamp,MgTNP-ATP,Natascia,2
1E-06,Kir6.2-G334D+SUR1-T1397ANAP,current,0.098,patch-clamp,MgTNP-ATP,Natascia,2
0.001,Kir6.2-G334D+SUR1-T1397ANAP,current,1,patch-clamp,MgTNP-ATP,Natascia,3
0.0001,Kir6.2-G334D+SUR1-T1397ANAP,current,0.96,patch-clamp,MgTNP-ATP,Natascia,3
1E-05,Kir6.2-G334D+SUR1-T1397ANAP,current,0.71,patch-clamp,MgTNP-ATP,Natascia,3
1E-06,Kir6.2-G334D+SUR1-T1397ANAP,current,0.283,patch-clamp,MgTNP-ATP,Natascia,3
0.001,Kir6.2-G334D+SUR1-T1397ANAP,current,1,patch-clamp,MgTNP-ATP,Natascia,4
0.0001,Kir6.2-G334D+SUR1-T1397ANAP,current,0.88,patch-clamp,MgTNP-ATP,Natascia,4
1E-05,Kir6.2-G334D+SUR1-T1397ANAP,current,0.515,patch-clamp,MgTNP-ATP,Natascia,4
1E-06,Kir6.2-G334D+SUR1-T1397ANAP,current,0.035,patch-clamp,MgTNP-ATP,Natascia,4
0.001,Kir6.2-G334D+SUR1-T1397ANAP,current,1,patch-clamp,MgTNP-ATP,Natascia,5
0.0001,Kir6.2-G334D+SUR1-T1397ANAP,current,1.04,patch-clamp,MgTNP-ATP,Natascia,5
1E-05,Kir6.2-G334D+SUR1-T1397ANAP,current,0.604,patch-clamp,MgTNP-ATP,Natascia,5
1E-06,Kir6.2-G334D+SUR1-T1397ANAP,current,0.093,patch-clamp,MgTNP-ATP,Natascia,5
0.001,Kir6.2-G334D+SUR1-T1397ANAP,current,1,patch-clamp,MgTNP-ATP,Natascia,6
0.0001,Kir6.2-G334D+SUR1-T1397ANAP,current,0.951,patch-clamp,MgTNP-ATP,Natascia,6
1E-05,Kir6.2-G334D+SUR1-T1397ANAP,current,0.514,patch-clamp,MgTNP-ATP,Natascia,6
1E-06,Kir6.2-G334D+SUR1-T1397ANAP,current,0.174,patch-clamp,MgTNP-ATP,Natascia,6
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,-0.05768,unroofed,MgTNP-ATP,Mike,7
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.13282,unroofed,MgTNP-ATP,Mike,7
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.4408,unroofed,MgTNP-ATP,Mike,7
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.88534,unroofed,MgTNP-ATP,Mike,7
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.98864,unroofed,MgTNP-ATP,Mike,7
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.97987,unroofed,MgTNP-ATP,Mike,7
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.01276,unroofed,MgTNP-ATP,Mike,8
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,-0.00731,unroofed,MgTNP-ATP,Mike,8
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.14961,unroofed,MgTNP-ATP,Mike,8
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.66537,unroofed,MgTNP-ATP,Mike,8
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.92674,unroofed,MgTNP-ATP,Mike,8
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.97691,unroofed,MgTNP-ATP,Mike,8
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,-0.05294,unroofed,MgTNP-ATP,Mike,9
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.07168,unroofed,MgTNP-ATP,Mike,9
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.17673,unroofed,MgTNP-ATP,Mike,9
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.82123,unroofed,MgTNP-ATP,Mike,9
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.97973,unroofed,MgTNP-ATP,Mike,9
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.98708,unroofed,MgTNP-ATP,Mike,9
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,-0.01239,unroofed,MgTNP-ATP,Mike,10
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.07681,unroofed,MgTNP-ATP,Mike,10
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.35528,unroofed,MgTNP-ATP,Mike,10
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.88259,unroofed,MgTNP-ATP,Mike,10
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.99283,unroofed,MgTNP-ATP,Mike,10
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.99579,unroofed,MgTNP-ATP,Mike,10
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.04886,unroofed,MgTNP-ATP,Mike,11
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,-0.01604,unroofed,MgTNP-ATP,Mike,11
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.28739,unroofed,MgTNP-ATP,Mike,11
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.8123,unroofed,MgTNP-ATP,Mike,11
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.94336,unroofed,MgTNP-ATP,Mike,11
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.96269,unroofed,MgTNP-ATP,Mike,11
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.08549,unroofed,MgTNP-ATP,Mike,12
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,-0.01277,unroofed,MgTNP-ATP,Mike,12
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.11418,unroofed,MgTNP-ATP,Mike,12
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.52999,unroofed,MgTNP-ATP,Mike,12
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.93704,unroofed,MgTNP-ATP,Mike,12
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.97124,unroofed,MgTNP-ATP,Mike,12
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,-0.02161,unroofed,MgTNP-ATP,Mike,13
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.0151,unroofed,MgTNP-ATP,Mike,13
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.34153,unroofed,MgTNP-ATP,Mike,13
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.86381,unroofed,MgTNP-ATP,Mike,13
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.98771,unroofed,MgTNP-ATP,Mike,13
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.99427,unroofed,MgTNP-ATP,Mike,13
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.00437,unroofed,MgTNP-ATP,Mike,14
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.05389,unroofed,MgTNP-ATP,Mike,14
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.25443,unroofed,MgTNP-ATP,Mike,14
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.65363,unroofed,MgTNP-ATP,Mike,14
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.95567,unroofed,MgTNP-ATP,Mike,14
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.98559,unroofed,MgTNP-ATP,Mike,14
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,-0.02764,unroofed,MgTNP-ATP,Mike,15
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.01615,unroofed,MgTNP-ATP,Mike,15
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.29895,unroofed,MgTNP-ATP,Mike,15
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.75681,unroofed,MgTNP-ATP,Mike,15
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.97154,unroofed,MgTNP-ATP,Mike,15
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.98607,unroofed,MgTNP-ATP,Mike,15
5E-08,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.01594,unroofed,MgTNP-ATP,Mike,16
5E-07,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.07905,unroofed,MgTNP-ATP,Mike,16
5E-06,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.3549,unroofed,MgTNP-ATP,Mike,16
5E-05,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.79746,unroofed,MgTNP-ATP,Mike,16
0.0005,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.98795,unroofed,MgTNP-ATP,Mike,16
0.001,Kir6.2-G334D+SUR1-T1397ANAP,fluorescence,0.99585,unroofed,MgTNP-ATP,Mike,16
