construct,within_method_id,concentration,measure,response,method,nucleotide,experimenter,unique_experiment_id
W311*-GFP+SUR,1,1e-7,current,0.945054389193063,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,1e-6,current,0.671154475889565,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,1e-5,current,0.337546442828217,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,1e-4,current,0.081752836344631,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,0.001,current,0.065472842209142,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,2,1e-7,current,1.10907960930399,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-6,current,0.74233919162778506,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-5,current,0.303059499687728,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-4,current,0.135431127302836,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0.001,current,0.140491664493228,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,3,1e-7,current,0.939210012438013,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,1e-6,current,0.723951955047982,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,1e-5,current,0.195289667312396,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,1e-4,current,0.027772856300884,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,3,0.001,current,0.037485256343833,pcf,TNP-ATP,Sam,169
W311*-GFP+SUR,4,1e-7,current,1.03548087553709,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,1e-6,current,0.667383409056273,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,1e-5,current,0.19872571321274,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,1e-4,current,0.048513421002412,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,4,0.001,current,0.089301277349219,pcf,TNP-ATP,Sam,170
W311*-GFP+SUR,5,1e-6,current,0.898574777256318,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,1e-5,current,0.187884563894181,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,1e-4,current,0.052986183519273,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,5,0.001,current,0.013706609578378,pcf,TNP-ATP,Sam,171
W311*-GFP+SUR,6,1e-6,current,1.05687703514547,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,1e-5,current,0.64203145676114,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,1e-4,current,0.161577076584543,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,6,0.001,current,0.03218967654394,pcf,TNP-ATP,Sam,172
W311*-GFP+SUR,7,1e-6,current,0.976556932544009,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,1e-5,current,0.684503350376084,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,1e-4,current,0.128225749168402,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,7,0.001,current,0.018478773949462,pcf,TNP-ATP,Sam,173
W311*-GFP+SUR,8,1e-6,current,0.902132120706784,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,1e-5,current,0.328582204761477,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,1e-4,current,0.112954452904334,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,8,0.001,current,0.08297729225136,pcf,TNP-ATP,Sam,174
W311*-GFP+SUR,9,0.001,current,0.240452861784307,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,1e-4,current,0.183827662718076,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,1e-5,current,0.703237339070959,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,9,1e-6,current,0.962110422039853,pcf,TNP-ATP,Sam,175
W311*-GFP+SUR,10,0.001,current,0.118035877312544,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,1e-4,current,0.119220618699511,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,1e-5,current,0.585008130391474,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,1e-6,current,0.990247836640796,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,10,1e-7,current,0.989151254016969,pcf,TNP-ATP,Sam,176
W311*-GFP+SUR,11,0.001,current,0.068489544979149,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,1e-4,current,0.029728837632148,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,1e-5,current,0.271643238965189,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,1e-6,current,0.886418424801654,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,11,1e-7,current,0.971253670134311,pcf,TNP-ATP,Sam,177
W311*-GFP+SUR,1,0,fluorescence,1,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,0.001,fluorescence,0.14665069158760768,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,0,fluorescence,0.9957567743035622,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,1e-4,fluorescence,0.5599313413251349,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,0,fluorescence,1.000946912464081,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,1e-5,fluorescence,0.8009261141126116,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,0,fluorescence,1.0138283238294101,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,1e-6,fluorescence,0.8965208859898771,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,1,0,fluorescence,0.9887029336880375,pcf,TNP-ATP,Sam,167
W311*-GFP+SUR,2,0,fluorescence,1,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-7,fluorescence,1.0071112128857433,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0,fluorescence,0.9718165077754339,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-6,fluorescence,0.9500595778626602,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0,fluorescence,1.0305756928900003,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-5,fluorescence,0.8645748053658081,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0,fluorescence,1.026926018951361,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,1e-4,fluorescence,0.5049580953233775,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0,fluorescence,0.9653677650728726,pcf,TNP-ATP,Sam,168
W311*-GFP+SUR,2,0.001,fluorescence,0.020083497394503436,pcf,TNP-ATP,Sam,168
