n,concentration,raw_current,wash_current,barium_current,response,construct,nucleotide,method,measure,tolbutamide_response,unique_experiment_id
1,0.01,442.347137451171,975.394348144531,30.7943725585937,0.435690001619247,"W311*,C166S-GFP+SUR",ATP,patch_clamp,current,NA,1
2,0.01,1488.37377929687,3249.72778320312,128.731384277343,0.435643692343735,"W311*,C166S-GFP+SUR",ATP,patch_clamp,current,NA,2
3,0.01,958.518676757812,2078.78442382812,74.3602600097656,0.441103451409085,"W311*,C166S-GFP+SUR",ATP,patch_clamp,current,NA,3
4,0.01,493.090362548828,668.074127197265,67.2641677856445,0.708753555250981,"W311*,C166S-GFP+SUR",ATP,patch_clamp,current,NA,4
5,0.01,232.093963623046,568.298461914063,63.1341171264648,0.334465106731993,"W311*,C166S-GFP+SUR",ATP,patch_clamp,current,NA,5
1,0,NA,NA,NA,1,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,6
1,1E-06,NA,NA,NA,0.410477880092203,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,6
1,3E-06,NA,NA,NA,0.20885921467897,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,6
1,1E-05,NA,NA,NA,0.160777423268932,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,6
1,3E-05,NA,NA,NA,0.062578510867165,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,6
1,0.0001,NA,NA,NA,0.049909397034925,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,6
1,0.0003,NA,NA,NA,0.041126761535358,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,6
3,0,NA,NA,NA,1,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,7
3,1E-07,NA,NA,NA,0.978387070910664,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,7
3,3E-07,NA,NA,NA,0.908902734758351,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,7
3,1E-06,NA,NA,NA,0.723924182213462,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,7
3,3E-06,NA,NA,NA,0.420254229708107,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,7
3,1E-05,NA,NA,NA,0.09440019817236,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,7
3,3E-05,NA,NA,NA,0.048200353692545,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,7
4,0,NA,NA,NA,1,WT-GFP+SUR,TNP-ATP,patch_clamp,current,NA,8
