n,concentration,raw_current,wash_current,barium_current,response,construct,measure,date,cumulative_exposure,dye,raw_intensity,corrected_intensity,method,unique_experiment_id
1,1e-7,3077.7607421875,3255.10595703125,27.4557,0.945054389193063,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,1
1,1e-6,1487.7822265625,2203.29833984375,27.4557,0.671154475889565,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,1
1,1e-5,568.457824707031,1630.20440673828,27.4557,0.337546442828217,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,1
1,1e-4,127.151351928711,1246.93206787109,27.4557,0.081752836344631,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,1
1,0.001,92.5377883911133,1021.48751831055,27.4557,0.065472842209142,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,1
2,1e-7,1832.78210449219,1656.52270507813,40.6441688537598,1.10907960930399,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,2
2,1e-6,772.570129394531,1026.61657714844,40.6441688537598,0.74233919162778506,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,2
2,1e-5,259.591430664062,763.100524902344,40.6441688537598,0.303059499687728,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,2
2,1e-4,104.319686889648,510.813171386719,40.6441688537598,0.135431127302836,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,2
2,0.001,89.2641754150391,386.714569091797,40.6441688537598,0.140491664493228,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,2
3,1e-7,944.533325195313,1003.16021728516,38.7433052062988,0.939210012438013,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,3
3,1e-6,550.038513183594,744.9990234375,38.7433052062988,0.723951955047982,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,3
3,1e-5,137.764114379883,545.789123535156,38.7433052062988,0.195289667312396,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,3
3,1e-4,49.2861938476563,418.354553222656,38.7433052062988,0.027772856300884,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,3
3,0.001,48.2472229003906,292.280792236328,38.7433052062988,0.037485256343833,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,3
4,1e-7,694.239318847656,671.085021972656,18.4997482299805,1.03548087553709,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,4
4,1e-6,268.913055419922,393.71630859375,18.4997482299805,0.667383409056273,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,4
4,1e-5,69.5710754394531,275.493804931641,18.4997482299805,0.19872571321274,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,4
4,1e-4,26.4188346862793,181.734710693359,18.4997482299805,0.048513421002412,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,4
4,0.001,27.3858337402344,118.006561279297,18.4997482299805,0.089301277349219,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,4
5,1e-6,131.248352050781,144.636489868164,12.6364068984985,0.898574777256318,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,5
5,1e-5,65.4282379150391,293.616546630859,12.6364068984985,0.187884563894181,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,5
5,1e-4,35.7639999389648,449.119873046875,12.6364068984985,0.052986183519273,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,5
5,0.001,23.4254512786865,799.778137207031,12.6364068984985,0.013706609578378,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,5
6,1e-6,639.392211914063,608.867248535156,72.1837997436523,1.05687703514547,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,6
6,1e-5,737.769653320312,1108.87109375,72.1837997436523,0.64203145676114,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,6
6,1e-4,386.167907714844,2015.43041992187,72.1837997436523,0.161577076584543,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,6
6,0.001,154.603149414063,2632.61181640625,72.1837997436523,0.03218967654394,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,6
7,1e-6,547.1015625,559.829345703125,16.9062309265137,0.976556932544009,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,7
7,1e-5,420.120788574219,605.967712402344,16.9062309265137,0.684503350376084,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,7
7,1e-4,146.940338134766,1031.00915527344,16.9062309265137,0.128225749168402,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,7
7,0.001,44.4989318847656,1510.11682128906,16.9062309265137,0.018478773949462,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,7
8,1e-6,1319.40087890625,1459.30236816406,29.8089504241943,0.902132120706784,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,8
8,1e-5,320.381713867187,914.1318359375,29.8089504241943,0.328582204761477,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,8
8,1e-4,101.391036987305,663.5341796875,29.8089504241943,0.112954452904334,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,8
8,0.001,62.0365333557129,418.199340820313,29.8089504241943,0.08297729225136,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,8
9,0.001,265.601196289062,1087.35122680664,5.45651721954346,0.240452861784307,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,9
9,1e-4,430.894500732422,2319.787109375,5.45651721954346,0.183827662718076,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,9
9,1e-5,1248.64636230469,1773.26629638672,5.45651721954346,0.703237339070959,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,9
9,1e-6,1303.06286621094,1354.16485595703,5.45651721954346,0.962110422039853,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,9
10,0.001,157.116897583008,871.331726074219,61.5314064025879,0.118035877312544,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,10
10,1e-4,172.09211730957,988.893737792969,61.5314064025879,0.119220618699511,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,10
10,1e-5,660.277709960937,1085.01513671875,61.5314064025879,0.585008130391474,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,10
10,1e-6,1075.57214355469,1085.55862426758,61.5314064025879,0.990247836640796,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,10
10,1e-7,669.240600585938,675.905792236328,61.5314064025879,0.989151254016969,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,10
11,0.001,140.035781860352,1930.49047851562,8.39214134216309,0.068489544979149,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,11
11,1e-4,131.625778198242,4153.64794921875,8.39214134216309,0.029728837632148,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,11
11,1e-5,943.632873535156,3451.29296875,8.39214134216309,0.271643238965189,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,11
11,1e-6,2571.62548828125,2900.06640625,8.39214134216309,0.886418424801654,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,11
11,1e-7,2248.0029296875,2314.28900146484,8.39214134216309,0.971253670134311,W311*-GFP+SUR,current,NA,NA,NA,NA,NA,pcf,11
1,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2020-11-02,0,471.7451145510986,16.332767762460232,16.332767762460232,pcf,1
1,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2020-11-02,0,507.9542876453923,26.36076352067868,26.36076352067868,pcf,1
1,0,NA,NA,NA,1,W311*-GFP+SUR,fluorescence,2020-11-02,0,560.892883758269,5.779657122658185,5.779657122658185,pcf,1
1,0.001,NA,NA,NA,0.14665069158760768,W311*-GFP+SUR,fluorescence,2020-11-02,1000,471.7451145510986,2.0422234004948865,2.395211687904577,pcf,1
1,0.001,NA,NA,NA,-0.09159612255563165,W311*-GFP+SUR,fluorescence,2020-11-02,1000,507.9542876453923,-1.9904383174266589,-2.414543726100107,pcf,1
1,0.001,NA,NA,NA,-14.238812040213293,W311*-GFP+SUR,fluorescence,2020-11-02,1000,560.892883758269,-78.96353835277483,-82.29545142640988,pcf,1
1,0,NA,NA,NA,0.9957567743035622,W311*-GFP+SUR,fluorescence,2020-11-02,2000,471.7451145510986,12.253234358430552,16.26346414259661,pcf,1
1,0,NA,NA,NA,1.003267252700248,W311*-GFP+SUR,fluorescence,2020-11-02,2000,507.9542876453923,20.066931778013426,26.446890796472214,pcf,1
1,0,NA,NA,NA,0.9003632410389399,W311*-GFP+SUR,fluorescence,2020-11-02,2000,560.892883758269,4.993089430894289,5.203790819050318,pcf,1
1,1e-4,NA,NA,NA,0.5599313413251349,W311*-GFP+SUR,fluorescence,2020-11-02,3000,471.7451145510986,6.279462707670552,9.14522856078628,pcf,1
