unique_experiment_id,method,construct,tea_concentration,raw_current,wash_current,barium_current,response
1,patch-clamp,W311*-GFP+SUR1,0.05,2016.54272460937,3238.72021484375,41.8759460449218,0.617692515659014
1,patch-clamp,W311*-GFP+SUR1,0.015,2102.99682617187,2610.78686523437,41.8759460449218,0.80233256230515
1,patch-clamp,W311*-GFP+SUR1,0.005,2266.15942382812,2446.60571289062,41.8759460449218,0.924961926470768
1,patch-clamp,W311*-GFP+SUR1,0.001,2304.62280273437,2397.1298828125,41.8759460449218,0.960723097142939
2,patch-clamp,W311*-GFP+SUR1,0.05,2110.0263671875,4207.75537109375,52.7288627624511,0.495134627974078
2,patch-clamp,W311*-GFP+SUR1,0.015,2744.94384765625,3579.70239257812,52.7288627624511,0.763321573619664
2,patch-clamp,W311*-GFP+SUR1,0.005,3059.67724609375,3440.78735351562,52.7288627624511,0.887513716642729
2,patch-clamp,W311*-GFP+SUR1,0.001,3032.47094726562,3236.09448242187,52.7288627624511,0.936035140324838
3,patch-clamp,W311*-GFP+SUR1,0.05,2173.7255859375,4052.82055664062,19.9079914093017,0.534060076852834
3,patch-clamp,W311*-GFP+SUR1,0.015,2868.85791015625,3620.89916992187,19.9079914093017,0.791157150216552
3,patch-clamp,W311*-GFP+SUR1,0.005,2801.47045898437,3155.30810546875,19.9079914093017,0.887147530263287
3,patch-clamp,W311*-GFP+SUR1,0.001,2956.8369140625,2967.27221679687,19.9079914093017,0.996459445817899
4,patch-clamp,"W311*,C166S-GFP+SUR1",0.05,1028.96899414062,1439.7822265625,46.0197830200195,0.705248742836171
4,patch-clamp,"W311*,C166S-GFP+SUR1",0.015,1221.42895507812,1327.77911376953,46.0197830200195,0.917027981665468
4,patch-clamp,"W311*,C166S-GFP+SUR1",0.005,1252.82019042968,1286.83050537109,46.0197830200195,0.972590247385219
4,patch-clamp,"W311*,C166S-GFP+SUR1",0.001,1251.40698242187,1251.68609619141,46.0197830200195,0.999768498326207
5,patch-clamp,"W311*,C166S-GFP+SUR1",0.05,1318.45263671875,1743.900390625,69.936050415039,0.745844195311303
5,patch-clamp,"W311*,C166S-GFP+SUR1",0.015,1616.01708984375,1753.81616210937,69.936050415039,0.918165746297125
5,patch-clamp,"W311*,C166S-GFP+SUR1",0.005,1707.58288574218,1746.47509765625,69.936050415039,0.97680208404447
5,patch-clamp,"W311*,C166S-GFP+SUR1",0.001,1737.99536132812,1750.45062255859,69.936050415039,0.992588424142861
6,patch-clamp,"W311*,C166S-GFP+SUR1",0.05,2102.68310546875,2851.14013671874,27.5696620941162,0.734925323105492
6,patch-clamp,"W311*,C166S-GFP+SUR1",0.015,2456.58374023437,2740.29101562499,27.5696620941162,0.895415990654052
6,patch-clamp,"W311*,C166S-GFP+SUR1",0.005,2542.72802734375,2606.86608886718,27.5696620941162,0.975133505068404
6,patch-clamp,"W311*,C166S-GFP+SUR1",0.001,2574.7861328125,2590.30920410156,27.5696620941162,0.993942782309864
