replicate,kir_construct,sur_construct,anap_present,chaperone,total_dna,counts
1,WT-HA-GFP,SUR,FALSE,NA,4,1452157312
1,WT-HA-GFP,NA,FALSE,NA,4,169285536
1,WT-HA-GFP,SUR,FALSE,Tolbutamide,4,2007612480
1,WT-HA-GFP,NA,FALSE,TEA,4,63225756
1,WT-HA-GFP,TMD0_195,FALSE,NA,4,771656960
1,WT-HA-GFP,TMD0_195,FALSE,TEA,4,133142904
1,WT-HA-GFP,TMD0_232,FALSE,NA,4,706536000
1,WT-HA-GFP,TMD0_232,FALSE,TEA,4,92448280
1,WT-HA-GFP,TMD0_1353,FALSE,NA,4,258600608
1,WT-HA-GFP,TMD0_1353,FALSE,TEA,4,54974540
1,WT-HA-GFP,TMD0_1353,FALSE,Tolbutamide,4,243056720
1,WT-GFP,SUR,FALSE,NA,4,24032572
2,WT-HA-GFP,SUR,FALSE,NA,4,1850495744
2,WT-HA-GFP,NA,FALSE,NA,4,190042960
2,WT-HA-GFP,SUR,FALSE,Tolbutamide,4,2286440000
2,WT-HA-GFP,NA,FALSE,TEA,4,51013856
2,WT-HA-GFP,TMD0_195,FALSE,NA,4,997626688
2,WT-HA-GFP,TMD0_195,FALSE,TEA,4,93534768
2,WT-HA-GFP,TMD0_232,FALSE,NA,4,770874368
2,WT-HA-GFP,TMD0_232,FALSE,TEA,4,51101844
2,WT-HA-GFP,TMD0_1353,FALSE,NA,4,160314464
2,WT-HA-GFP,TMD0_1353,FALSE,TEA,4,50408760
2,WT-HA-GFP,TMD0_1353,FALSE,Tolbutamide,4,211579440
2,WT-GFP,SUR,FALSE,NA,4,44841060
3,WT-HA-GFP,SUR,FALSE,NA,4,1685546368
3,WT-HA-GFP,NA,FALSE,NA,4,312020000
3,WT-HA-GFP,SUR,FALSE,Tolbutamide,4,NA
3,WT-HA-GFP,NA,FALSE,TEA,4,NA
3,WT-HA-GFP,TMD0_195,FALSE,NA,4,955884224
3,WT-HA-GFP,TMD0_195,FALSE,TEA,4,149171424
3,WT-HA-GFP,TMD0_232,FALSE,NA,4,691333120
3,WT-HA-GFP,TMD0_232,FALSE,TEA,4,65608092
3,WT-HA-GFP,TMD0_1353,FALSE,NA,4,272926784
3,WT-HA-GFP,TMD0_1353,FALSE,TEA,4,61147168
3,WT-HA-GFP,TMD0_1353,FALSE,Tolbutamide,4,201645520
3,WT-GFP,SUR,FALSE,NA,4,36874676
