replicate,kir_construct,sur_construct,anap_present,chaperone,total_dna,counts
1,W311*-HA-GFP,SUR,TRUE,Tolbutamide,4,1010000000
2,W311*-HA-GFP,SUR,TRUE,Tolbutamide,4,899000000
3,W311*-HA-GFP,SUR,TRUE,Tolbutamide,4,877000000
1,W311*-GFP,SUR,TRUE,Tolbutamide,4,27700000
2,W311*-GFP,SUR,TRUE,Tolbutamide,4,26800000
3,W311*-GFP,SUR,TRUE,Tolbutamide,4,31500000
1,W311*-HA-GFP,TMD0_232,TRUE,NA,4,252000000
2,W311*-HA-GFP,TMD0_232,TRUE,NA,4,253000000
3,W311*-HA-GFP,TMD0_232,TRUE,NA,4,171000000
1,W311*-HA-GFP,TMD0_195,TRUE,NA,4,197000000
2,W311*-HA-GFP,TMD0_195,TRUE,NA,4,195000000
3,W311*-HA-GFP,TMD0_195,TRUE,NA,4,272000000
1,W311*-HA-GFP,TMD0_232,TRUE,NA,8,238000000
2,W311*-HA-GFP,TMD0_232,TRUE,NA,8,272000000
3,W311*-HA-GFP,TMD0_232,TRUE,NA,8,146000000
1,W311*-HA-GFP,TMD0_195,TRUE,NA,8,261000000
2,W311*-HA-GFP,TMD0_195,TRUE,NA,8,254000000
3,W311*-HA-GFP,TMD0_195,TRUE,NA,8,253000000
1,W311*-HA-GFP,TMD0_232,TRUE,NA,2,173000000
2,W311*-HA-GFP,TMD0_232,TRUE,NA,2,201000000
3,W311*-HA-GFP,TMD0_232,TRUE,NA,2,177000000
1,W311*-HA-GFP,TMD0_195,TRUE,NA,2,212000000
2,W311*-HA-GFP,TMD0_195,TRUE,NA,2,200000000
3,W311*-HA-GFP,TMD0_195,TRUE,NA,2,167000000
1,W311*-HA-GFP,NA,TRUE,NA,4,123000000
2,W311*-HA-GFP,NA,TRUE,NA,4,152000000
3,W311*-HA-GFP,NA,TRUE,NA,4,162000000
